id,group_number,res_type,res_id,res_number,res_data,rate,stock,number_item_can_buy,money_type,money_value
1,2,4,35001,1,,2,1,1,121,15000
,,4,36001,1,,2,1,1,121,15000
,,4,37001,1,,2,1,1,121,15000
,,4,38001,1,,2,1,1,121,15000
,,4,39001,1,,2,1,1,121,15000
,,4,40001,1,,1,1,1,121,15000
,,4,41001,1,,1,1,1,121,15000
,,4,42001,1,,1,1,1,121,15000
,,4,43001,1,,1,1,1,121,15000
,,4,44001,1,,1,1,1,121,15000
,,4,45001,1,,1,1,1,121,15000
,,4,150001,1,,1,1,1,121,15000
,,4,151001,1,,1,1,1,121,15000
,,4,152001,1,,1,1,1,121,15000
,,4,153001,1,,1,1,1,121,15000
,,4,154001,1,,1,1,1,121,15000
,,4,155001,1,,1,1,1,121,15000
2,2,4,46001,1,,1,1,1,121,30000
,,4,47001,1,,1,1,1,121,30000
,,4,48001,1,,1,1,1,121,30000
,,4,49001,1,,1,1,1,121,30000
,,4,50001,1,,1,1,1,121,30000
,,4,51001,1,,1,1,1,121,30000
,,4,52001,1,,1,1,1,121,30000
,,4,53001,1,,1,1,1,121,30000
,,4,54001,1,,1,1,1,121,30000
,,4,55001,1,,1,1,1,121,30000
,,4,56001,1,,1,1,1,121,30000
,,4,57001,1,,1,1,1,121,30000
,,4,58001,1,,2,1,1,121,30000
,,4,59001,1,,2,1,1,121,30000
,,4,60001,1,,2,1,1,121,30000
,,4,61001,1,,2,1,1,121,30000
,,4,62001,1,,2,1,1,121,30000
,,4,63001,1,,1,1,1,121,30000
,,4,64001,1,,1,1,1,121,30000
,,4,65001,1,,1,1,1,121,30000
,,4,66001,1,,1,1,1,121,30000
,,4,67001,1,,1,1,1,121,30000
,,4,68001,1,,1,1,1,121,30000
,,4,69001,1,,1,1,1,121,30000
,,4,70001,1,,1,1,1,121,30000
,,4,71001,1,,1,1,1,121,30000
,,4,72001,1,,1,1,1,121,30000
,,4,73001,1,,1,1,1,121,30000
,,4,74001,1,,1,1,1,121,30000
,,4,75001,1,,2,1,1,121,30000
,,4,76001,1,,2,1,1,121,30000
,,4,77001,1,,2,1,1,121,30000
,,4,78001,1,,2,1,1,121,30000
,,4,79001,1,,2,1,1,121,30000
,,4,80001,1,,1,1,1,121,30000
,,4,81001,1,,1,1,1,121,30000
,,4,82001,1,,1,1,1,121,30000
,,4,83001,1,,1,1,1,121,30000
,,4,84001,1,,1,1,1,121,30000
,,4,85001,1,,1,1,1,121,30000
,,4,86001,1,,1,1,1,121,30000
,,4,87001,1,,1,1,1,121,30000
,,4,88001,1,,1,1,1,121,30000
,,4,89001,1,,1,1,1,121,30000
,,4,90001,1,,1,1,1,121,30000
,,4,91001,1,,1,1,1,121,30000
,,4,92001,1,,2,1,1,121,30000
,,4,93001,1,,2,1,1,121,30000
,,4,94001,1,,2,1,1,121,30000
,,4,95001,1,,2,1,1,121,30000
,,4,96001,1,,2,1,1,121,30000
,,4,97001,1,,1,1,1,121,30000
,,4,98001,1,,1,1,1,121,30000
,,4,99001,1,,1,1,1,121,30000
,,4,100001,1,,1,1,1,121,30000
,,4,101001,1,,1,1,1,121,30000
,,4,102001,1,,1,1,1,121,30000
,,4,103001,1,,1,1,1,121,30000
,,4,104001,1,,1,1,1,121,30000
,,4,105001,1,,1,1,1,121,30000
,,4,106001,1,,1,1,1,121,30000
,,4,107001,1,,1,1,1,121,30000
,,4,108001,1,,1,1,1,121,30000
,,4,109001,1,,2,1,1,121,30000
,,4,110001,1,,2,1,1,121,30000
,,4,111001,1,,2,1,1,121,30000
,,4,112001,1,,2,1,1,121,30000
,,4,113001,1,,2,1,1,121,30000
,,4,114001,1,,1,1,1,121,30000
,,4,115001,1,,1,1,1,121,30000
,,4,116001,1,,1,1,1,121,30000
,,4,117001,1,,1,1,1,121,30000
,,4,118001,1,,1,1,1,121,30000
,,4,119001,1,,1,1,1,121,30000
,,4,120001,1,,1,1,1,121,30000
,,4,121001,1,,1,1,1,121,30000
,,4,122001,1,,1,1,1,121,30000
,,4,123001,1,,1,1,1,121,30000
,,4,124001,1,,1,1,1,121,30000
,,4,125001,1,,1,1,1,121,30000
,,4,126001,1,,2,1,1,121,30000
,,4,127001,1,,2,1,1,121,30000
,,4,128001,1,,2,1,1,121,30000
,,4,129001,1,,2,1,1,121,30000
,,4,130001,1,,2,1,1,121,30000
,,4,131001,1,,1,1,1,121,30000
,,4,132001,1,,1,1,1,121,30000
,,4,133001,1,,1,1,1,121,30000
,,4,134001,1,,1,1,1,121,30000
,,4,135001,1,,1,1,1,121,30000
,,4,136001,1,,1,1,1,121,30000
,,4,137001,1,,1,1,1,121,30000
,,4,138001,1,,1,1,1,121,30000
,,4,139001,1,,1,1,1,121,30000
,,4,140001,1,,1,1,1,121,30000
,,4,141001,1,,1,1,1,121,30000
,,4,142001,1,,1,1,1,121,30000
,,4,143001,1,,2,1,1,121,30000
,,4,144001,1,,2,1,1,121,30000
,,4,145001,1,,2,1,1,121,30000
,,4,146001,1,,2,1,1,121,30000
,,4,147001,1,,2,1,1,121,30000
3,1,6,3,40,,1,1,5,121,700
4,1,6,4,40,,1,1,5,121,1200
5,1,6,5,50,,1,1,1,121,2500
6,1,6,6,50,,1,1,1,121,3500
7,1,6,7,50,,1,1,1,121,5000
8,1,6,8,50,,1,1,1,121,5000
9,1,6,9,50,,1,1,1,121,5000
10,1,6,10,50,,1,1,1,121,5000
11,1,6,11,50,,1,1,1,121,6000
12,1,6,12,50,,1,1,1,121,6000
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
