key<>value
10001_1<>Trọng Kích
10001_2<>Phá Băng
10001_3<>Giáp Băng
10001_4<>Phản Đòn Băng Giá
10002_1<>Ném Mìn
10002_2<>Xuất Huyết
10002_3<>Súng Hải Tặc
10002_4<>Thiện Xạ
10003_1<>Thủy Triều
10003_2<>Dấu Ấn Hồi Phục
10003_3<>Bảo Hộ Của Nước
10003_4<>Sinh Vật Kỳ Bí
10004_1<>Đóng Băng
10004_2<>Sương Giá
10004_3<>Lạnh Cóng
10004_4<>Băng Thể
10005_1<>Đánh Bóng
10005_2<>Song Kiếm Sương Mờ
10005_3<>Sương Mù Quấn Chân
10005_4<>Màn Che Sương Mờ
10006_1<>Triệu Hồi Cá Mập
10006_2<>Liên Kết Bảo Vệ
10006_3<>Lá Chắn Của Nước
10006_4<>Tự Phục Hồi
10007_1<>Mưa Đá
10007_2<>Dẫn Nước Lan Truyền
10007_3<>Kiềm Hãm Của Nước
10007_4<>Cơn Thịnh Nộ Của Biển
10008_1<>Phán Xét
10008_2<>Bản Năng Chiến Đấu
10008_3<>Thợ Săn Băng Giá
10008_4<>Sát Ý Liên Hoàn
10009_1<>Lốc Xoáy Nước
10009_2<>Thủy Cầu Nảy Nảy
10009_3<>Ấn Chú Thủy Phòng
10009_4<>Mỹ Nhân Bạch Tuộc
10010_1<>Tàn Phá Tiền Phương
10010_2<>Tên Lùn Nổi Quạu
10010_3<>Áo Giáp Biển Sâu
10010_4<>Cơn Thịnh Nộ Băng Giá
10011_1<>Phát Bắn Chí Mạng
10011_2<>Phát Bắn Trả Thù
10011_3<>Móc Câu
10011_4<>Cung Thủ Linh Hoạt
10012_1<>Cái Chết Chậm Rãi
10012_2<>Cộng Hưởng Thủy Tộc
10012_3<>Chuẩn Bị Kỹ Lưỡng
10012_4<>Vận Mệnh Tử Vong
10013_1<>Sóng Biển Dạt Dào
10013_2<>Tử Vận Của Chiến Binh
10013_3<>Ăn Mòn
10013_4<>Quyền Trượng Biển Cả
10014_1<>Gai Băng
10014_3<>Tinh Thông Băng Giá
10015_1<>Bắn Nhanh
10015_3<>Mỏ Neo Nặng Nề
10015_4<>Nện Choáng
10016_1<>Lặn Nhảy
10016_2<>Da Dày Thịt Béo
10016_3<>Tắm Máu Pháp Sư
10016_4<>Chặn Sát Thương
10017_1<>Tu Sĩ Trầm Lặng
10017_2<>Tinh Thần Glugrgly
10017_4<>Tinh Thông Sấm Sét
10018_1<>Đâm Lén
10018_3<>Phá Giáp
10018_4<>Hút Máu Bạo Kích
10019_1<>Tấn Công Tiền Phương
10019_3<>Suy Giảm Chính Xác
10019_4<>Dũng Cảm
10020_1<>Bắn Vào Lưng
10020_3<>Linh Hoạt
