id,group_number,res_type,res_id,res_number,res_data,rate,stock,money_type,money_value,number_item_can_buy
1,1,2,30,3,,1,-1,1,100,1
,,2,30,2,,1,-1,0,100000,1
,,2,30,4,,1,-1,0,200000,1
2,1,2,10,160000,,1,-1,1,100,1
,,2,10,80000,,1,-1,1,50,1
3,2,2,51,4,,1,-1,1,600,1
,,2,51,1,,2,1,1,125,1
,,2,51,1,,1,-1,1,150,1
4,4,3,1020,1,,1,1,1,500,1
,,3,2020,1,,1,1,1,500,1
,,3,3020,1,,1,1,1,500,1
,,3,4020,1,,1,1,1,500,1
,,3,1019,1,,3,-1,1,100,1
,,3,2019,1,,3,-1,1,100,1
,,3,3019,1,,3,-1,1,100,1
,,3,4019,1,,3,-1,1,100,1
,,3,1018,1,,6,-1,0,500000,1
,,3,2018,1,,6,-1,0,500000,1
,,3,3018,1,,6,-1,0,500000,1
,,3,4018,1,,6,-1,0,500000,1
5,2,2,60,1,,1,1,1,500,1
,,2,31,1,,1,1,1,400,1
,,2,61,50,,1,-1,1,400,1
6,2,2,11,200,,1,-1,1,150,1
,,2,11,100,,1,-1,1,70,1
,,2,11,300,,1,-1,1,400,1
7,1,2,91,1,,1,-1,1,200,1
,,2,90,1,,1,-1,0,100000,1
,,2,90,2,,1,-1,0,300000,1
8,1,2,80,500,,3,-1,1,100,1
,,2,80,2000,,1,-1,1,400,1
