id,group_number,res_type,res_id,res_number,res_data,rate,stock,money_type,money_value,number_item_can_buy
1,1,2,30,3,,1,-1,1,100,1
,,2,30,2,,1,-1,0,100000,1
,,2,30,4,,1,-1,0,200000,1
2,1,17,203,1,,1,-1,1,100,1
,,17,103,1,,1,-1,1,50,1
3,2,2,51,4,,1,-1,1,600,1
,,2,51,1,,3,1,1,125,1
,,2,51,1,,1,-1,1,150,1
4,4,3,1022,1,,1,1,1,500,1
,,3,2022,1,,1,1,1,500,1
,,3,3022,1,,1,1,1,500,1
,,3,4022,1,,1,1,1,500,1
,,3,1021,1,,3,-1,1,100,1
,,3,2021,1,,3,-1,1,100,1
,,3,3021,1,,3,-1,1,100,1
,,3,4021,1,,3,-1,1,100,1
,,3,1020,1,,6,-1,0,500000,1
,,3,2020,1,,6,-1,0,500000,1
,,3,3020,1,,6,-1,0,500000,1
,,3,4020,1,,6,-1,0,500000,1
5,2,2,60,1,,1,1,1,500,1
,,2,31,1,,1,1,1,400,1
,,2,61,50,,1,-1,1,400,1
6,2,2,11,250,,2,-1,1,150,1
,,2,11,500,,1,-1,0,2500000,1
,,2,11,500,,2,-1,1,300,1
7,2,2,91,1,,1,-1,1,200,1
,,2,90,1,,1,1,0,100000,1
,,2,90,2,,1,1,0,300000,1
8,2,2,80,500,,1,-1,1,50,1
,,2,80,2000,,1,-1,1,200,1
,,2,80,5000,,1,1,1,500,1
