key<>value
20<>Đã xảy ra lỗi
21<>Đã xảy ra lỗi
22<>Đã xảy ra lỗi
30<>Bạn cần được cấp quyền thực hiện hành động này.
40<>Không tìm thấy trò chơi.
41<>Tên trò chơi không đúng.
42<>Đã xảy ra lỗi
43<>Đã xảy ra lỗi
50<>Giftcode không tồn tại.
51<>Giftcode đã được sử dụng.
52<>Giftcode đã quá hạn sử dụng.
53<>Phần thưởng đã nhận.
54<>Phần thưởng đã nhận.
60<>Đã xảy ra lỗi
70<>Đã xảy ra lỗi
71<>Đã xảy ra lỗi
72<>Đã xảy ra lỗi
73<>Đã xảy ra lỗi
80<>Độ dài giftcode không hợp lệ.
81<>Đã xảy ra lỗi
82<>Đã xảy ra lỗi
83<>Đã quá thời gian nhập giftcode.
84<>Giftcode đã quá số lượt sử dụng
85<>Tiền tố của giftcode bị sai.
86<>Giftcode không tồn tại.
87<>Giftcode không tồn tại.
