key<>value
20<>Se produjó un error.
21<>Se produjó un error.
22<>Se produjó un error.
30<>You need permission to continue this action.
40<>The game is not found.
41<>Wrong name of the game.
42<>Se produjó un error.
43<>Se produjó un error.
50<>Giftcode does not exist.
51<>Giftcode has been already used.
52<>Giftcode has been expired.
53<>Reward has been claimed. 
54<>Reward has been claimed. 
60<>Se produjó un error.
70<>Se produjó un error.
71<>Se produjó un error.
72<>Se produjó un error.
73<>Se produjó un error.
80<>Maximum number of characters of giftcode is wrong.
81<>Se produjó un error.
82<>Se produjó un error.
83<>Time to input giftcode has been expired.
84<>Giftcode has been beyond number of use.
85<>The prefix of giftcode is wrong.
86<>Giftcode does not exist.
87<>Giftcode does not exist.
