id_team_level,summoner_level,hero_slot_1,hero_slot_2,hero_slot_3,hero_slot_4,hero_slot_5
101,1,1,1,1,1,1
102,2,1,1,1,1,1
103,3,1,1,1,1,1
104,4,1,1,1,1,1
105,5,1,1,1,1,1
106,6,1,1,1,1,1
107,7,1,1,1,1,1
108,8,1,1,1,1,1
109,9,1,1,1,1,1
110,10,1,1,1,1,1
111,11,1,1,1,1,1
112,12,1,1,1,1,1
113,13,1,1,1,1,1
114,14,1,1,1,1,1
115,15,1,1,1,1,1
116,16,1,1,1,1,1
117,17,1,1,1,1,1
118,18,1,1,1,1,1
119,19,1,1,1,1,1
120,20,1,1,1,1,1
121,21,1,1,1,1,1
122,22,1,1,1,1,1
123,23,1,1,1,1,1
124,24,1,1,1,1,1
125,25,1,1,1,1,1
126,26,1,1,1,1,1
127,27,1,1,1,1,1
128,28,1,1,1,1,1
129,29,1,1,1,1,1
130,30,1,1,1,1,1
131,31,1,1,1,1,1
132,32,1,1,1,1,1
133,33,1,1,1,1,1
134,34,1,1,1,1,1
135,35,1,1,1,1,1
136,36,1,1,1,1,1
137,37,1,1,1,1,1
138,38,1,1,1,1,1
139,39,1,1,1,1,1
140,40,1,1,1,1,1
141,41,1,1,1,1,1
142,42,1,1,1,1,1
143,43,1,1,1,1,1
144,44,1,1,1,1,1
145,45,1,1,1,1,1
146,46,1,1,1,1,1
147,47,1,1,1,1,1
148,48,1,1,1,1,1
149,49,1,1,1,1,1
150,50,1,1,1,1,1
151,51,1,1,1,1,1
152,52,1,1,1,1,1
153,53,1,1,1,1,1
154,54,1,1,1,1,1
155,55,1,1,1,1,1
156,56,1,1,1,1,1
157,57,1,1,1,1,1
158,58,1,1,1,1,1
159,59,1,1,1,1,1
160,60,1,1,1,1,1
161,61,1,1,1,1,1
162,62,1,1,1,1,1
163,63,1,1,1,1,1
164,64,1,1,1,1,1
165,65,1,1,1,1,1
166,66,1,1,1,1,1
167,67,1,1,1,1,1
168,68,1,1,1,1,1
169,69,1,1,1,1,1
170,70,1,1,1,1,1
171,71,1,1,1,1,1
172,72,1,1,1,1,1
173,73,1,1,1,1,1
174,74,1,1,1,1,1
175,75,1,1,1,1,1
176,76,1,1,1,1,1
177,77,1,1,1,1,1
178,78,1,1,1,1,1
179,79,1,1,1,1,1
180,80,1,1,1,1,1
181,81,1,1,1,1,1
182,82,1,1,1,1,1
183,83,1,1,1,1,1
184,84,1,1,1,1,1
185,85,1,1,1,1,1
186,86,1,1,1,1,1
187,87,1,1,1,1,1
188,88,1,1,1,1,1
189,89,1,1,1,1,1
190,90,1,1,1,1,1
191,91,1,1,1,1,1
192,92,1,1,1,1,1
193,93,1,1,1,1,1
194,94,1,1,1,1,1
195,95,1,1,1,1,1
196,96,1,1,1,1,1
197,97,1,1,1,1,1
198,98,1,1,1,1,1
199,99,1,1,1,1,1
200,0,2,2,2,2,2
201,1,2,2,2,2,2
202,2,2,2,2,2,2
