floor,background_id
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,703
52,703
53,703
54,703
55,703
56,703
57,703
58,703
59,703
60,703
61,703
62,703
63,703
64,703
65,703
66,703
67,703
68,703
69,703
70,703
71,703
72,703
73,703
74,703
75,703
76,703
77,703
78,703
79,703
80,703
81,703
82,703
83,703
84,703
85,703
86,703
87,703
88,703
89,703
90,703
91,703
92,703
93,703
94,703
95,703
96,703
97,703
98,703
99,703
100,703
101,704
102,704
103,704
104,704
105,704
106,704
107,704
108,704
109,704
110,704
111,704
112,704
113,704
114,704
115,704
116,704
117,704
118,704
119,704
120,704
121,704
122,704
123,704
124,704
125,704
126,704
127,704
128,704
129,704
130,704
131,704
132,704
133,704
134,704
135,704
136,704
137,704
138,704
139,704
140,704
141,704
142,704
143,704
144,704
145,704
146,704
147,704
148,704
149,704
150,704
151,804
152,804
153,804
154,804
155,804
156,804
157,804
158,804
159,804
160,804
161,804
162,804
163,804
164,804
165,804
166,804
167,804
168,804
169,804
170,804
171,804
172,804
173,804
174,804
175,804
176,804
177,804
178,804
179,804
180,804
181,804
182,804
183,804
184,804
185,804
186,804
187,804
188,804
189,804
190,804
191,702
192,702
193,702
194,702
195,702
196,702
197,702
198,702
199,702
200,702
201,702
202,702
203,702
204,702
205,702
206,702
207,702
208,702
209,702
210,702
211,702
212,702
213,702
214,702
215,702
216,701
217,701
218,701
219,701
220,701
221,701
222,701
223,701
224,701
225,701
226,701
227,701
228,701
229,701
230,701
231,701
232,701
233,701
234,701
235,701
236,701
237,701
238,701
239,701
240,701
241,701
242,701
243,701
244,701
245,701
246,701
247,701
248,701
249,701
250,701
251,701
252,701
253,701
254,701
255,701
256,701
257,701
258,701
259,701
260,701
261,701
262,701
263,701
264,701
265,701
266,701
267,701
268,701
269,701
270,701
271,701
272,701
273,701
274,701
275,701
276,701
277,701
278,701
279,701
280,701
281,701
282,701
283,701
284,701
285,701
286,701
287,701
288,701
289,701
290,701
291,701
292,701
293,701
294,701
295,701
296,701
297,701
298,701
299,701
300,701
301,701
302,701
303,701
304,701
305,701
306,701
307,701
308,701
309,701
310,701
311,701
312,701
313,701
314,701
315,701
316,701
317,701
318,701
319,701
320,701
321,701
322,701
323,701
324,701
325,701
326,701
327,701
328,701
329,701
330,701
331,701
332,701
333,701
334,701
335,701
336,701
337,701
338,701
339,701
340,701
341,701
342,701
343,701
344,701
345,701
346,701
347,701
348,701
349,701
350,701
